River,Country,Runoff,Precipitation,Area,Density,NO3,Deposition,NitrateConc
Adige,Italy,18.3,84.8,1220,102,67,1237.5,46
Amazon,SAmerica,24.8,181.1,7050000,1,3,120.6,2.1
Caragh,Ireland,45.6,104.9,160,7.15,3.6,86.5,2.6
Columbia,USA,11.8,99.1,670000,10,26.6,62.8,2
Danube,Rumania,8.1,57.9,805000,90,46,826.4,45
Delaware,USA,19.1,107.4,17600,100,61,851.7,25
Fraser,Canada,16.1,145.8,220000,2,6.4,739.7,16
Ganges,India,14.9,160,1070000,300,91.3,294.3,5.8
Glaama,Norway,16.9,68.3,41770,12,24,975,45
Huanghe,China,2,32.3,750000,200,139,286.4,28
Hudson,USA,16.1,107.4,34700,150,47.8,851.7,25
Kazan-an,Canada,6.1,27.4,312000,0.4,1.1,60.9,7
Mackenzi,Canada,5.9,33.3,1787000,0.15,5.7,73.9,7
Magdalen,Columbia,31.3,106.2,240000,30,17,87.5,2.6
Mekong,SEAsia,19.2,139.2,783000,43,17,334.1,7.6
Mersey,England,17.5,100.3,1200,200,156,919.4,28.9
Meuse,Netherla,9.1,65,34900,250,230,742.3,36
Mississi,USA,5,114.8,3220000,30,63,691.7,19
Murray-D,Australi,0.3,53.6,1073000,1.5,15,74.8,4.4
Nelson,Canada,2.2,37.3,1070000,2,5,248.6,21
Niger,WAfrica,6.2,181.6,1125000,20,7,555.2,9.6
Nile,NEAfrica,0.3,15.7,2960000,50,20,50.9,10.2
Orange,SAfrica,0.2,18.1,1020000,20,50,154.9,23
Orinoco,Venezuel,33.9,97.3,1000000,2,6,92.5,3
Parana,Argentin,5.7,75.8,2800000,10,14.2,216.2,9.9
Po,Italy,22,84.8,66700,232,102,1237.5,46
Rhine,Europe,11.9,86.6,185300,300,286,1647.9,60
Rhone,France,17.7,73.2,96000,100,57.2,695.9,30
Shannon,Ireland,13.5,92.7,14000,35,54,252.8,8.6
Stikine,Canada,22,242.1,50000,1,6.1,76.8,1
StLawren,Canada,10.4,101.1,1025000,15,16,673.2,21
Susqueha,USA,15.1,103.6,73000,100,66,821.5,25
Tees,England,27.7,58.2,1806,100,75,608.7,33
Thames,England,7.8,58.2,9950,400,520,1125.1,61
Tiber,Italy,13.5,84.8,17000,262,100,1237.5,46
Uruguay,SAmerica,10.5,86.1,365000,10,29,355.6,13.7
Vistula,Poland,5.5,55.9,200000,120,70.5,832.8,47
Volga,Russia,6.1,36.8,1350000,50,30,151.8,13
Yangtze,China,15.4,116.8,1900000,200,58.2,370.5,10
Yukon,Canada,7.4,78.5,831000,0.4,9.3,185.4,7.8
Zaire,Zaire,10.4,147.3,3820000,11.7,6,467.2,10
Zambezi,SEAfrica,2.5,51.8,1300000,15,9.3,138.5,8.4
