"CARCLASS","INJURY"
"CLASS1",70
"CLASS1",97
"CLASS1",103
"CLASS1",109
"CLASS1",115
"CLASS1",115
"CLASS1",119
"CLASS1",120
"CLASS1",124
"CLASS1",125
"CLASS1",137
"CLASS1",137
"CLASS1",139
"CLASS1",139
"CLASS1",139
"CLASS1",140
"CLASS1",151
"CLASS1",152
"CLASS1",153
"CLASS1",158
"CLASS1",*
"CLASS1",*
"CLASS1",*
"CLASS2",80
"CLASS2",85
"CLASS2",91
"CLASS2",93
"CLASS2",95
"CLASS2",97
"CLASS2",102
"CLASS2",111
"CLASS2",117
"CLASS2",117
"CLASS2",123
"CLASS2",123
"CLASS2",131
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS2",*
"CLASS3",55
"CLASS3",70
"CLASS3",73
"CLASS3",75
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS3",*
"CLASS4",66
"CLASS4",96
"CLASS4",102
"CLASS4",103
"CLASS4",112
"CLASS4",115
"CLASS4",115
"CLASS4",116
"CLASS4",121
"CLASS4",121
"CLASS4",131
"CLASS4",132
"CLASS4",137
"CLASS4",140
"CLASS4",142
"CLASS4",149
"CLASS4",161
"CLASS4",177
"CLASS4",*
"CLASS4",*
"CLASS4",*
"CLASS4",*
"CLASS4",*
"CLASS5",73
"CLASS5",78
"CLASS5",80
"CLASS5",81
"CLASS5",84
"CLASS5",84
"CLASS5",86
"CLASS5",87
"CLASS5",87
"CLASS5",90
"CLASS5",90
"CLASS5",91
"CLASS5",91
"CLASS5",94
"CLASS5",95
"CLASS5",102
"CLASS5",106
"CLASS5",107
"CLASS5",107
"CLASS5",110
"CLASS5",113
"CLASS5",118
"CLASS5",121
"CLASS6",61
"CLASS6",63
"CLASS6",66
"CLASS6",68
"CLASS6",70
"CLASS6",70
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS6",*
"CLASS7",75
"CLASS7",78
"CLASS7",84
"CLASS7",90
"CLASS7",93
"CLASS7",98
"CLASS7",100
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS7",*
"CLASS8",58
"CLASS8",60
"CLASS8",73
"CLASS8",74
"CLASS8",75
"CLASS8",81
"CLASS8",82
"CLASS8",89
"CLASS8",91
"CLASS8",93
"CLASS8",97
"CLASS8",98
"CLASS8",103
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS8",*
"CLASS9",52
"CLASS9",53
"CLASS9",54
"CLASS9",60
"CLASS9",63
"CLASS9",65
"CLASS9",65
"CLASS9",68
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
"CLASS9",*
