"country","income","infmort","region"
"Australia",3426,26.7,"Asia"
"Austria",3350,23.7,"Europe"
"Belgium",3346,17,"Europe"
"Canada",4751,16.8,"Americas"
"Denmark",5029,13.5,"Europe"
"Finland",3312,10.1,"Europe"
"France",3403,12.9,"Europe"
"West.Germany",5040,20.4,"Europe"
"Ireland",2009,17.8,"Europe"
"Italy",2298,25.7,"Europe"
"Japan",3292,11.7,"Europe"
"Netherlands",4103,11.6,"Europe"
"New.Zealand",3723,16.2,"Asia"
"Norway",4102,11.3,"Europe"
"Portugal",956,44.8,"Europe"
"South.Africa",1000,71.5,"Africa"
"Sweden",5596,9.6,"Europe"
"Switzerland",2963,12.8,"Europe"
"Britain",2503,17.5,"Europe"
"United.States",5523,17.6,"Americas"
"Algeria",400,86.3,"Africa"
"Ecuador",250,78.5,"Americas"
"Indonesia",110,125,"Asia"
"Iraq",560,28.1,"Asia"
"Libya",3010,300,"Africa"
"Nigeria",220,58,"Africa"
"Saudi.Arabia",1530,650,"Asia"
"Venezuela",1240,51.7,"Americas"
"Argentina",1191,59.6,"Americas"
"Brazil",425,170,"Americas"
"Chile",590,78,"Americas"
"Colombia",426,62.8,"Americas"
"Costa.Rica",725,54.4,"Americas"
"Dominican.Republic",406,48.8,"Americas"
"Greece",1760,27.8,"Europe"
"Guatemala",302,79.1,"Americas"
"Israel",2526,22.1,"Asia"
"Jamaica",727,26.2,"Americas"
"Lebanon",631,13.6,"Asia"
"Malaysia",295,32,"Asia"
"Mexico",684,60.9,"Americas"
"Nicaragua",507,46,"Americas"
"Panama",754,34.1,"Americas"
"Peru",335,65.1,"Americas"
"Singapore",1268,20.4,"Asia"
"Spain",1256,15.1,"Europe"
"Taiwan",261,19.1,"Asia"
"Trinidad.and.Tobago",732,26.2,"Americas"
"Tunisia",434,76.3,"Africa"
"Uruguay",799,40.4,"Americas"
"Yugoslavia",406,43.3,"Europe"
"Zambia",310,259,"Africa"
"Bolivia",200,60.4,"Americas"
"Cameroon",100,137,"Africa"
"Congo",281,180,"Africa"
"Egypt",210,114,"Africa"
"El.Salvador",319,58.2,"Americas"
"Ghana",217,63.7,"Africa"
"Honduras",284,39.3,"Americas"
"Ivory.Coast",387,138,"Africa"
"Jordan",334,21.3,"Asia"
"South.Korea",344,58,"Asia"
"Liberia",197,159.2,"Africa"
"Moroco",279,149,"Africa"
"Papua.New.Guinea",477,10.2,"Asia"
"Paraguay",347,38.6,"Americas"
"Philippines",230,67.9,"Asia"
"Syria",334,21.7,"Asia"
"Thailand",210,27,"Asia"
"Turkey",435,153,"Asia"
"South.Vietnam",130,100,"Asia"
"Afganistan",75,400,"Asia"
"Bangladesh",100,124.3,"Asia"
"Burma",73,200,"Asia"
"Burundi",68,150,"Africa"
"Cambodia",123,100,"Asia"
"Central.African.Republic",122,190,"Africa"
"Chad",70,160,"Africa"
"Dahomey",81,109.6,"Africa"
"Ethiopia",79,84.2,"Africa"
"Guinea",79,216,"Africa"
"India",93,60.6,"Asia"
"Kenya",169,55,"Africa"
"Madagascar",120,102,"Africa"
"Malawi",130,148.3,"Africa"
"Mali",50,120,"Africa"
"Mauritania",174,187,"Africa"
"Niger",70,200,"Africa"
"Pakistan",102,124.3,"Asia"
"Rwanda",61,132.9,"Africa"
"Sierra.Leone",148,170,"Africa"
"Somalia",85,158,"Africa"
"Sri.Lanka",162,45.1,"Asia"
"Sudan",125,129.4,"Africa"
"Tanzania",120,162.5,"Africa"
"Togo",160,127,"Africa"
"Uganda",134,160,"Africa"
"Upper.Volta",82,180,"Africa"
"Southern.Yemen",96,80,"Asia"
"Yemen",77,50,"Asia"
"Zaire",118,104,"Africa"
